,recipe_id,ing_id
1,3002.0,1
2,3268.0,1
3,3033.0,1
4,1005.0,2
5,3013.0,2
6,3450.0,2
7,938.0,2
8,2101.0,2
9,1469.0,2
10,3011.0,2
11,937.0,2
13,3014.0,2
14,2082.0,2
15,3570.0,3
16,1879.0,4
17,1592.0,5
18,1737.0,5
19,496.0,5
20,3272.0,5
21,392.0,5
22,3133.0,5
23,3291.0,5
24,345.0,5
25,484.0,5
26,1070.0,5
27,3545.0,5
28,1413.0,5
30,191.0,5
31,3617.0,5
32,400.0,5
33,704.0,5
34,1617.0,5
35,619.0,5
36,1181.0,5
37,1572.0,5
38,1720.0,5
39,3411.0,5
40,2049.0,5
41,2670.0,5
42,2861.0,5
43,2600.0,5
44,276.0,5
45,372.0,5
46,2506.0,5
47,3307.0,6
48,3511.0,6
49,1906.0,6
50,284.0,6
51,3415.0,6
52,1172.0,6
53,193.0,6
54,848.0,6
55,3260.0,6
56,1037.0,7
57,1721.0,7
58,281.0,7
59,3474.0,8
60,3143.0,8
61,3588.0,8
62,3323.0,8
63,3143.0,8
64,2396.0,8
65,2522.0,8
66,3519.0,9
68,871.0,9
69,3684.0,10
70,1646.0,10
71,2900.0,10
72,3660.0,10
73,2011.0,10
75,2011.0,10
76,2045.0,11
77,2344.0,11
78,3129.0,11
80,260.0,11
82,877.0,11
83,2840.0,12
84,281.0,12
85,3076.0,12
86,3287.0,12
87,3572.0,12
88,2023.0,12
89,1425.0,12
90,3437.0,12
91,2497.0,12
92,2054.0,12
93,1974.0,12
94,25.0,12
95,1342.0,12
96,868.0,12
97,1506.0,12
98,1733.0,12
99,3692.0,12
100,1505.0,12
101,3645.0,12
102,2729.0,12
103,1398.0,12
104,2562.0,12
105,2684.0,13
106,1071.0,14
107,3115.0,14
110,3529.0,14
111,2055.0,14
112,1127.0,14
114,1306.0,14
115,1306.0,14
116,45.0,14
117,699.0,14
118,2271.0,14
119,2570.0,14
120,2800.0,14
121,1147.0,14
122,3224.0,14
123,2379.0,14
124,2142.0,14
125,3256.0,14
126,348.0,14
127,3685.0,14
128,1250.0,14
129,3438.0,14
130,3597.0,14
131,3693.0,14
133,3647.0,14
134,757.0,14
135,2900.0,14
136,3522.0,14
137,2692.0,14
138,3441.0,14
139,479.0,14
140,2424.0,14
141,47.0,14
142,2900.0,14
143,356.0,14
144,1462.0,14
145,874.0,15
146,3534.0,15
147,1412.0,15
148,3533.0,15
149,2332.0,16
150,3458.0,16
151,2661.0,16
152,874.0,16
153,3600.0,16
154,3467.0,16
155,125.0,17
156,391.0,17
157,828.0,17
158,2081.0,17
160,2172.0,17
161,3118.0,17
162,2021.0,17
163,2546.0,17
164,1043.0,17
165,3140.0,17
166,1936.0,17
167,1328.0,17
168,874.0,17
169,3455.0,17
170,2890.0,17
171,1937.0,17
172,1180.0,17
173,2101.0,17
174,1950.0,17
175,3399.0,17
176,1937.0,17
177,1562.0,17
178,3552.0,17
179,1455.0,17
180,1708.0,17
181,244.0,18
182,874.0,18
185,856.0,19
186,3508.0,19
187,3514.0,19
188,188.0,20
189,3294.0,20
190,1315.0,20
192,19.0,20
193,806.0,21
194,1361.0,21
196,966.0,22
197,3063.0,22
198,145.0,22
200,3310.0,22
201,1129.0,22
202,155.0,22
203,1930.0,22
204,3302.0,22
205,2999.0,22
206,3106.0,22
207,290.0,22
208,620.0,22
209,788.0,22
210,538.0,22
211,1132.0,22
212,3585.0,22
213,2489.0,22
214,879.0,22
215,2093.0,22
216,2467.0,22
217,3031.0,22
218,1762.0,22
219,706.0,22
220,1159.0,22
221,219.0,22
222,373.0,22
223,3454.0,22
224,3030.0,22
225,1756.0,22
226,2456.0,22
227,3693.0,22
228,410.0,22
230,2547.0,22
231,296.0,22
232,3105.0,22
234,3610.0,22
235,2626.0,22
236,1128.0,22
237,1631.0,23
238,3184.0,23
239,798.0,23
240,565.0,23
241,2522.0,23
242,565.0,24
243,3607.0,25
244,3607.0,25
245,3475.0,26
246,1555.0,27
247,516.0,28
248,1937.0,28
249,296.0,28
250,218.0,28
251,528.0,28
252,2406.0,28
253,3058.0,28
254,2762.0,28
255,1934.0,28
256,2120.0,28
257,3062.0,28
258,3133.0,28
259,1962.0,28
260,2026.0,28
261,251.0,28
262,1953.0,28
263,120.0,28
264,618.0,28
265,3693.0,28
266,791.0,28
267,2040.0,28
268,1937.0,28
269,3079.0,28
270,2405.0,28
272,229.0,30
273,230.0,30
274,2780.0,31
275,221.0,31
276,871.0,31
277,2179.0,31
278,3667.0,31
279,3208.0,31
280,2786.0,31
281,626.0,31
282,3669.0,31
283,2149.0,31
284,3492.0,31
285,2898.0,31
286,629.0,31
287,3486.0,31
288,1205.0,31
289,1789.0,32
290,3480.0,32
291,2762.0,32
292,436.0,32
293,855.0,32
294,1005.0,32
295,2129.0,32
296,1472.0,32
297,2704.0,32
298,801.0,32
299,2228.0,32
300,2437.0,33
301,355.0,33
302,2466.0,33
303,2436.0,33
304,2515.0,34
305,2813.0,34
306,2986.0,34
307,53.0,34
308,3404.0,34
309,1918.0,34
310,429.0,34
311,3302.0,34
312,852.0,34
313,1918.0,34
314,1805.0,35
315,811.0,35
316,1315.0,35
317,920.0,35
318,506.0,35
319,2442.0,36
320,3611.0,37
321,2473.0,38
322,2482.0,38
323,2466.0,38
324,2810.0,39
325,2111.0,40
326,2449.0,40
327,2893.0,40
328,3214.0,40
330,700.0,40
331,2637.0,41
332,364.0,41
333,79.0,41
334,2435.0,42
335,2897.0,42
337,1161.0,44
338,3007.0,44
339,3497.0,44
340,3301.0,44
341,1013.0,44
342,3472.0,44
343,2401.0,44
344,3688.0,44
345,1103.0,44
346,659.0,45
347,3219.0,45
348,2048.0,46
349,47.0,47
350,3681.0,47
351,3062.0,48
352,3468.0,48
353,2906.0,49
354,2904.0,50
355,2786.0,51
356,44.0,51
357,3553.0,52
358,2334.0,52
359,3169.0,53
360,3498.0,53
361,1858.0,53
362,3649.0,54
363,3576.0,55
364,1828.0,56
365,1828.0,56
366,2971.0,56
367,1127.0,57
368,3480.0,58
369,1008.0,58
370,1703.0,58
371,431.0,58
373,795.0,58
374,2710.0,58
375,3480.0,58
376,3678.0,58
377,418.0,58
378,2630.0,59
379,408.0,59
380,2710.0,59
381,661.0,59
382,1014.0,59
383,3053.0,59
384,3674.0,59
385,1233.0,59
386,1068.0,59
387,3053.0,59
389,3296.0,60
390,520.0,60
391,569.0,60
392,2724.0,60
393,2341.0,60
394,2747.0,60
396,585.0,60
397,3167.0,61
398,519.0,61
399,3622.0,61
400,791.0,61
401,1319.0,61
402,3069.0,62
403,3066.0,63
404,1680.0,64
405,176.0,64
406,3191.0,64
407,576.0,64
408,1949.0,64
409,19.0,64
410,1677.0,64
411,3117.0,65
413,2400.0,66
414,953.0,66
415,2977.0,66
416,484.0,66
417,3112.0,66
418,2978.0,66
419,284.0,66
420,3518.0,66
421,2915.0,66
422,3064.0,66
423,3516.0,66
424,3656.0,66
425,2782.0,66
426,2174.0,66
427,1133.0,66
428,912.0,66
429,3644.0,66
430,77.0,66
431,3251.0,66
432,2793.0,67
433,791.0,68
434,210.0,69
435,2308.0,69
436,146.0,69
437,1209.0,69
438,2109.0,69
439,1080.0,69
440,2363.0,69
441,3152.0,69
442,1463.0,69
443,3462.0,69
444,2710.0,69
445,2605.0,69
446,3555.0,69
447,2307.0,69
448,3041.0,69
449,795.0,69
450,795.0,70
451,1859.0,70
452,2716.0,70
453,1787.0,70
454,3131.0,70
455,3060.0,70
456,1787.0,70
457,1833.0,70
458,1609.0,70
459,1418.0,70
460,573.0,70
461,2701.0,70
462,2401.0,70
463,1987.0,70
464,578.0,70
465,311.0,70
466,1861.0,70
467,2440.0,70
468,1058.0,70
469,3658.0,70
470,2014.0,70
471,2894.0,70
472,3511.0,70
473,2799.0,70
474,2223.0,70
475,2710.0,70
476,1739.0,70
477,961.0,70
478,2436.0,70
479,152.0,70
480,3693.0,70
481,2735.0,70
482,82.0,71
483,2113.0,71
484,1973.0,71
485,2513.0,71
486,2995.0,71
487,2696.0,71
488,10.0,71
489,3098.0,71
491,2179.0,71
492,402.0,71
493,2710.0,71
494,606.0,71
495,2482.0,71
496,689.0,71
497,835.0,71
498,2081.0,71
499,516.0,71
500,1899.0,71
501,1682.0,71
502,2679.0,71
503,82.0,71
504,3690.0,71
505,2113.0,71
506,2969.0,71
507,1921.0,71
509,2161.0,71
510,762.0,71
511,1759.0,71
512,534.0,71
513,3131.0,71
514,2136.0,71
515,795.0,71
516,214.0,71
517,1751.0,71
518,2018.0,71
519,1575.0,71
520,3683.0,71
521,3647.0,71
523,367.0,71
524,606.0,72
525,3498.0,72
526,2612.0,72
527,3627.0,72
528,1897.0,72
529,417.0,72
530,2704.0,72
531,214.0,72
532,2139.0,72
533,2936.0,72
534,3662.0,72
535,838.0,72
536,3620.0,72
537,358.0,72
538,3693.0,72
539,2472.0,72
541,2980.0,72
542,1191.0,72
543,3047.0,72
545,2815.0,72
546,3555.0,72
547,3131.0,72
548,2339.0,72
549,1888.0,72
550,303.0,72
551,3598.0,72
552,2598.0,72
553,2710.0,72
554,3099.0,72
555,3679.0,72
556,1817.0,72
557,595.0,72
558,1906.0,72
559,2692.0,72
560,2947.0,72
561,3692.0,72
562,2986.0,72
563,2314.0,72
564,2949.0,72
565,1665.0,73
566,2750.0,74
567,3464.0,75
568,2022.0,76
569,204.0,77
570,1839.0,77
571,2310.0,77
572,2325.0,77
573,423.0,77
574,1096.0,77
575,480.0,77
576,2129.0,77
577,1005.0,77
578,758.0,77
579,3047.0,77
580,3646.0,77
581,938.0,77
582,1182.0,77
583,3099.0,77
584,3547.0,77
585,3047.0,77
586,248.0,77
587,204.0,77
588,1133.0,77
589,2897.0,77
590,2310.0,77
591,415.0,77
592,284.0,77
593,892.0,77
594,3579.0,78
595,883.0,79
596,305.0,80
597,3074.0,80
598,1159.0,80
599,3528.0,80
600,305.0,80
601,2779.0,80
602,1756.0,81
603,3560.0,82
604,2014.0,83
605,2895.0,84
606,1146.0,85
607,3529.0,85
608,739.0,85
609,482.0,85
610,492.0,85
611,169.0,85
612,1098.0,85
613,2570.0,85
614,2215.0,85
615,2215.0,86
616,22.0,87
617,3550.0,88
618,787.0,88
619,3004.0,89
620,108.0,89
621,1550.0,89
622,3556.0,89
623,1616.0,90
624,1028.0,91
625,3095.0,91
626,3592.0,91
627,381.0,91
628,859.0,91
629,377.0,91
630,3164.0,91
631,1703.0,91
632,288.0,91
633,1058.0,91
634,1649.0,91
635,2710.0,91
637,102.0,91
638,384.0,91
639,3182.0,91
640,3516.0,91
641,2464.0,91
642,1030.0,91
643,2334.0,91
644,484.0,91
645,1971.0,91
646,2515.0,91
647,3200.0,91
